# # comment:                                                     FEFF 9.9.1  
# # Source:
# # Structure
# # Reduced
# # space
# # abc:
# # angles:
# # sites:
# # POT  SCF 100  7.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.366 Rnm= 1.403 L2 shell
# # Pot 1 Z=29 Rmt= 1.366 Rnm= 1.403
# # Gam_ch=1.162E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.858E+00eV kf=1.988E+00 Vint=-1.645E+01eV Rs_int= 1.824
# FMS rfms= 9.0000
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.984  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           3.2716E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     972.488      8.625   2.080  8.35038E-01  9.73127E-01 -1.38089E-01
     973.128      9.265   2.120  8.43309E-01  9.74954E-01 -1.31645E-01
     973.781      9.917   2.160  8.74623E-01  9.77011E-01 -1.02388E-01
     974.445     10.582   2.200  9.25223E-01  9.79261E-01 -5.40385E-02
     975.122     11.259   2.240  9.66507E-01  9.81677E-01 -1.51699E-02
     975.810     11.947   2.280  9.68301E-01  9.84212E-01 -1.59109E-02
     976.512     12.648   2.320  9.26061E-01  9.86852E-01 -6.07909E-02
     977.225     13.362   2.360  8.63884E-01  9.89547E-01 -1.25663E-01
     977.950     14.087   2.400  8.18638E-01  9.92275E-01 -1.73637E-01
     978.688     14.825   2.440  8.16075E-01  9.95024E-01 -1.78949E-01
     979.438     15.575   2.480  8.43941E-01  9.97724E-01 -1.53783E-01
     980.200     16.337   2.520  8.88330E-01  1.00038E+00 -1.12048E-01
     980.974     17.111   2.560  9.37178E-01  1.00296E+00 -6.57788E-02
     981.760     17.897   2.600  9.80813E-01  1.00543E+00 -2.46216E-02
     982.559     18.696   2.640  1.01444E+00  1.00778E+00  6.66338E-03
     983.369     19.506   2.680  1.03678E+00  1.00998E+00  2.68004E-02
     984.192     20.329   2.720  1.04979E+00  1.01201E+00  3.77845E-02
     985.028     21.165   2.760  1.05626E+00  1.01384E+00  4.24129E-02
     985.875     22.012   2.800  1.05920E+00  1.01548E+00  4.37230E-02
     986.734     22.871   2.840  1.06044E+00  1.01691E+00  4.35284E-02
     987.606     23.743   2.880  1.06108E+00  1.01810E+00  4.29791E-02
     988.490     24.627   2.920  1.06209E+00  1.01906E+00  4.30315E-02
     989.386     25.523   2.960  1.06415E+00  1.01978E+00  4.43716E-02
     990.294     26.431   3.000  1.06658E+00  1.02023E+00  4.63517E-02
     991.215     27.352   3.040  1.06783E+00  1.02046E+00  4.73732E-02
     992.148     28.285   3.080  1.06643E+00  1.02039E+00  4.60362E-02
     993.093     29.230   3.120  1.06212E+00  1.02009E+00  4.20261E-02
     994.050     30.187   3.160  1.05555E+00  1.01955E+00  3.60043E-02
     995.019     31.156   3.200  1.04747E+00  1.01875E+00  2.87202E-02
     996.000     32.137   3.240  1.03886E+00  1.01769E+00  2.11739E-02
     996.994     33.131   3.280  1.03023E+00  1.01641E+00  1.38214E-02
     998.000     34.137   3.320  1.02181E+00  1.01490E+00  6.91616E-03
     999.018     35.155   3.360  1.01414E+00  1.01317E+00  9.62595E-04
    1000.048     36.185   3.400  1.00826E+00  1.01125E+00 -2.98961E-03
    1001.090     37.227   3.440  1.00532E+00  1.00913E+00 -3.81238E-03
    1002.145     38.282   3.480  1.00630E+00  1.00683E+00 -5.29598E-04
    1003.212     39.349   3.520  1.01161E+00  1.00437E+00  7.24740E-03
    1004.291     40.428   3.560  1.02081E+00  1.00176E+00  1.90420E-02
    1005.382     41.519   3.600  1.03254E+00  9.99067E-01  3.34777E-02
    1006.485     42.622   3.640  1.04470E+00  9.96316E-01  4.83813E-02
    1007.601     43.738   3.680  1.05461E+00  9.93605E-01  6.10009E-02
    1008.729     44.866   3.720  1.05919E+00  9.90980E-01  6.82074E-02
