Energy (eV),Intensity
928.6,0.060949825
928.61,0.062034092
928.62,0.063011131
928.63,0.063817412
928.64,0.064389401
928.65,0.064685105
928.66,0.064750753
928.67,0.064655155
928.68,0.064467123
928.69,0.06425547
928.7,0.064089007
928.71,0.064036547
928.72,0.064166901
928.73,0.064548123
928.74,0.065200034
928.75,0.066066053
928.76,0.067082834
928.77,0.06818703
928.78,0.069315294
928.79,0.07040428
928.8,0.071390641
928.81,0.072211029
928.82,0.072806833
928.83,0.073176176
928.84,0.073354604
928.85,0.07337832
928.86,0.073283533
928.87,0.073106447
928.88,0.072883269
928.89,0.072650205
928.9,0.072443461
928.91,0.072292175
928.92,0.072196492
928.93,0.072149117
928.94,0.07214276
928.95,0.072170126
928.96,0.072223924
928.97,0.072296862
928.98,0.072381645
928.99,0.072470984
929,0.072557681
929.01,0.072634686
929.02,0.072694965
929.03,0.072731482
929.04,0.0727372
929.05,0.072705085
929.06,0.0726281
929.07,0.07249921
929.08,0.072313394
929.09,0.072089823
929.1,0.071863648
929.11,0.071670306
929.12,0.071545232
929.13,0.07152386
929.14,0.071641627
929.15,0.071933968
929.16,0.072436317
929.17,0.073168548
929.18,0.07408657
929.19,0.075129861
929.2,0.076237901
929.21,0.077350168
929.22,0.078406142
929.23,0.079345301
929.24,0.080107125
929.25,0.080631766
929.26,0.080902647
929.27,0.080971933
929.28,0.080897904
929.29,0.080738841
929.3,0.080553022
929.31,0.080398727
929.32,0.080334235
929.33,0.080417827
929.34,0.080703878
929.35,0.081199789
929.36,0.081881887
929.37,0.082725943
929.38,0.083707729
929.39,0.084803018
929.4,0.08598758
929.41,0.087237189
929.42,0.088527616
929.43,0.089832799
929.44,0.091119129
929.45,0.092351054
929.46,0.093493021
929.47,0.094509478
929.48,0.095364874
929.49,0.096023657
929.5,0.096450273
929.51,0.096609894
929.52,0.096514187
929.53,0.096248812
929.54,0.09590602
929.55,0.095578062
929.56,0.095357191
929.57,0.095335658
929.58,0.095605715
929.59,0.096259613
929.6,0.097380016
929.61,0.098933987
929.62,0.100811995
929.63,0.10290314
929.64,0.10509652
929.65,0.107281235
929.66,0.109346385
929.67,0.111181069
929.68,0.112674386
929.69,0.113742188
929.7,0.114410651
929.71,0.114734388
929.72,0.114768011
929.73,0.114566132
929.74,0.114183365
929.75,0.11367432
929.76,0.113093611
929.77,0.112495773
929.78,0.111930327
929.79,0.111438807
929.8,0.111062034
929.81,0.110840829
929.82,0.110816013
929.83,0.111028405
929.84,0.111518828
929.85,0.1123281
929.86,0.113491849
929.87,0.114982941
929.88,0.116732599
929.89,0.118671297
929.9,0.120729509
929.91,0.12283771
929.92,0.124926375
929.93,0.126925978
929.94,0.128766993
929.95,0.130393489
929.96,0.131805695
929.97,0.133018339
929.98,0.134046148
929.99,0.13490385
930,0.135606172
930.01,0.136167842
930.02,0.136603588
930.03,0.136928115
930.04,0.137154633
930.05,0.137293972
930.06,0.137356745
930.07,0.137353569
930.08,0.137295057
930.09,0.137191825
930.1,0.137054488
930.11,0.136893661
930.12,0.136720258
930.13,0.136548822
930.14,0.136396307
930.15,0.136279709
930.16,0.136216027
930.17,0.136222258
930.18,0.136315398
930.19,0.136512446
930.2,0.136830397
930.21,0.137282801
930.22,0.137868929
930.23,0.138584362
930.24,0.13942468
930.25,0.140385465
930.26,0.141462297
930.27,0.142650757
930.28,0.143946425
930.29,0.145344911
930.3,0.146843673
930.31,0.148443126
930.32,0.15014395
930.33,0.151946825
930.34,0.153852431
930.35,0.155861447
930.36,0.157974554
930.37,0.160192431
930.38,0.162512333
930.39,0.164889941
930.4,0.167253272
930.41,0.169529842
930.42,0.171647164
930.43,0.173532755
930.44,0.175114128
930.45,0.1763188
930.46,0.177074284
930.47,0.177342409
930.48,0.17722722
930.49,0.176869609
930.5,0.176410467
930.51,0.175990684
930.52,0.17575115
930.53,0.175832758
930.54,0.176376397
930.55,0.177521516
930.56,0.179312976
930.57,0.181644226
930.58,0.184395111
930.59,0.187445476
930.6,0.190675167
930.61,0.193964029
930.62,0.197191907
930.63,0.200238646
930.64,0.202991713
930.65,0.20543122
930.66,0.207599033
930.67,0.209538144
930.68,0.21129154
930.69,0.212902211
930.7,0.214413148
930.71,0.215867339
930.72,0.217307774
930.73,0.218774133
930.74,0.220292364
930.75,0.221884848
930.76,0.223573965
930.77,0.225382098
930.78,0.227331628
930.79,0.229444936
930.8,0.231744405
930.81,0.234251971
930.82,0.236960359
930.83,0.239815453
930.84,0.242758923
930.85,0.245732438
930.86,0.248677666
930.87,0.251536278
930.88,0.254249943
930.89,0.256760328
930.9,0.259014737
930.91,0.261029096
930.92,0.26286514
930.93,0.264585444
930.94,0.266252579
930.95,0.267929118
930.96,0.269677634
930.97,0.271560699
930.98,0.273640886
930.99,0.275963755
931,0.278504107
931.01,0.281218354
931.02,0.284062903
931.03,0.286994166
931.04,0.289968551
931.05,0.292942468
931.06,0.295872328
931.07,0.298714577
931.08,0.301428199
931.09,0.303976245
931.1,0.306322136
931.11,0.30842929
931.12,0.310261128
931.13,0.311781067
931.14,0.312952529
931.15,0.313738931
931.16,0.314110771
931.17,0.314124952
931.18,0.313896143
931.19,0.313540073
931.2,0.313172469
931.21,0.312909061
931.22,0.312865576
931.23,0.313157742
931.24,0.313901288
931.25,0.315172695
931.26,0.316884944
931.27,0.31890844
931.28,0.32111359
931.29,0.3233708
931.3,0.325550478
931.31,0.327523029
931.32,0.329158861
931.33,0.330329661
931.34,0.33099218
931.35,0.331239962
931.36,0.331178913
931.37,0.330914941
931.38,0.330553953
931.39,0.330201855
931.4,0.329964555
931.41,0.32994796
931.42,0.330249755
931.43,0.330867044
931.44,0.331729585
931.45,0.332765897
931.46,0.3339045
931.47,0.335073913
931.48,0.336202656
931.49,0.337219248
931.5,0.338052208
931.51,0.338646525
931.52,0.339015919
931.53,0.339192037
931.54,0.339206524
931.55,0.339091026
931.56,0.33887719
931.57,0.338596661
931.58,0.338281087
931.59,0.337962045
931.6,0.337666578
931.61,0.33741443
931.62,0.337224682
931.63,0.337116412
931.64,0.337108704
931.65,0.337220636
931.66,0.33747129
931.67,0.337879748
931.68,0.338462644
931.69,0.339206657
931.7,0.340078373
931.71,0.341044008
931.72,0.342069777
931.73,0.343121895
931.74,0.344166579
931.75,0.345170044
931.76,0.346098506
931.77,0.346930242
931.78,0.347693951
931.79,0.348431505
931.8,0.349184776
931.81,0.349995636
931.82,0.350905959
931.83,0.351957615
931.84,0.353192477
931.85,0.354651871
931.86,0.356340578
931.87,0.358204426
931.88,0.360183897
931.89,0.36221947
931.9,0.364251627
931.91,0.366220847
931.92,0.368067612
931.93,0.369732401
931.94,0.371160645
931.95,0.372358584
931.96,0.373373299
931.97,0.374252626
931.98,0.375044403
931.99,0.375796466
932,0.376556652
932.01,0.377372798
932.02,0.378292741
932.03,0.379359338
932.04,0.380594587
932.05,0.38201503
932.06,0.383637208
932.07,0.385477663
932.08,0.387552935
932.09,0.389879567
932.1,0.392474099
932.11,0.395352771
932.12,0.39851153
932.13,0.401913537
932.14,0.405518978
932.15,0.409288033
932.16,0.413180886
932.17,0.417157718
932.18,0.421178714
932.19,0.425204054
932.2,0.429198906
932.21,0.433189783
932.22,0.437244461
932.23,0.441431483
932.24,0.445819393
932.25,0.450476736
932.26,0.455472055
932.27,0.460873893
932.28,0.466750794
932.29,0.473134964
932.3,0.479906187
932.31,0.486904289
932.32,0.493969098
932.33,0.500940441
932.34,0.507658146
932.35,0.513962039
932.36,0.519691948
932.37,0.52469002
932.38,0.528955079
932.39,0.532739439
932.4,0.536318506
932.41,0.539967692
932.42,0.543962403
932.43,0.548578051
932.44,0.554090042
932.45,0.560773786
932.46,0.568872695
932.47,0.578235456
932.48,0.588444864
932.49,0.599078749
932.5,0.60971494
932.51,0.619931268
932.52,0.629305561
932.53,0.637415651
932.54,0.643839367
932.55,0.648316224
932.56,0.651265074
932.57,0.653283158
932.58,0.654967715
932.59,0.656915986
932.6,0.659725212
932.61,0.663992633
932.62,0.670315491
932.63,0.679284516
932.64,0.691048938
932.65,0.705042604
932.66,0.720634046
932.67,0.737191796
932.68,0.754084384
932.69,0.770680343
932.7,0.786348204
932.71,0.8004565
932.72,0.812419613
932.73,0.822218741
932.74,0.83021747
932.75,0.836786555
932.76,0.84229675
932.77,0.847118812
932.78,0.851623493
932.79,0.85618155
932.8,0.861163737
932.81,0.866864735
932.82,0.873259058
932.83,0.880237001
932.84,0.88768886
932.85,0.895504932
932.86,0.903575512
932.87,0.911790896
932.88,0.920041379
932.89,0.928217804
932.9,0.936248192
932.91,0.944120901
932.92,0.951829807
932.93,0.959368788
932.94,0.96673172
932.95,0.973912482
932.96,0.980904951
932.97,0.987703002
932.98,0.994303533
932.99,1.000740819
933,1.007074397
933.01,1.013364278
933.02,1.019670472
933.03,1.026052991
933.04,1.032571844
933.05,1.039287043
933.06,1.046258599
933.07,1.053523514
933.08,1.061021796
933.09,1.068667892
933.1,1.076376252
933.11,1.084061325
933.12,1.091637559
933.13,1.099019405
933.14,1.10612131
933.15,1.112858485
933.16,1.1191982
933.17,1.125192339
933.18,1.13090054
933.19,1.136382443
933.2,1.141697688
933.21,1.146905914
933.22,1.15206676
933.23,1.157239865
933.24,1.162478568
933.25,1.167757979
933.26,1.173000276
933.27,1.178126638
933.28,1.183058244
933.29,1.18771627
933.3,1.192021896
933.31,1.1958963
933.32,1.199260659
933.33,1.202065518
933.34,1.204385424
933.35,1.206327656
933.36,1.207999493
933.37,1.209508212
933.38,1.210961093
933.39,1.212465413
933.4,1.21412845
933.41,1.216057033
933.42,1.21832695
933.43,1.220963474
933.44,1.223987237
933.45,1.22741887
933.46,1.231279005
933.47,1.235588273
933.48,1.240367307
933.49,1.245636737
933.5,1.251407644
933.51,1.257572277
933.52,1.263942358
933.53,1.270328082
933.54,1.276539645
933.55,1.28238724
933.56,1.287681065
933.57,1.292231312
933.58,1.295848178
933.59,1.298417982
933.6,1.300149069
933.61,1.301334919
933.62,1.302269012
933.63,1.303244829
933.64,1.304555849
933.65,1.306495553
933.66,1.309357421
933.67,1.313431772
933.68,1.318790678
933.69,1.325150431
933.7,1.332194576
933.71,1.339606659
933.72,1.347070225
933.73,1.354268821
933.74,1.360885992
933.75,1.366605284
933.76,1.371141721
933.77,1.374602757
933.78,1.37736218
933.79,1.379798851
933.8,1.382291629
933.81,1.385219375
933.82,1.388960947
933.83,1.393895206
933.84,1.400401012
933.85,1.408749098
933.86,1.41875203
933.87,1.430101041
933.88,1.442487362
933.89,1.455602224
933.9,1.469136858
933.91,1.482782494
933.92,1.496230365
933.93,1.509173501
933.94,1.521429663
933.95,1.533020254
933.96,1.543985459
933.97,1.554365461
933.98,1.564200445
933.99,1.573530596
934,1.582396098
934.01,1.590837134
934.02,1.59891216
934.03,1.606907853
934.04,1.615266019
934.05,1.624431428
934.06,1.634848851
934.07,1.646963057
934.08,1.661218818
934.09,1.678060904
934.1,1.697934084
934.11,1.721044186
934.12,1.746582836
934.13,1.773472615
934.14,1.800636106
934.15,1.82699589
934.16,1.851474547
934.17,1.872994659
934.18,1.890478807
934.19,1.902864902
934.2,1.910158046
934.21,1.914108361
934.22,1.91662722
934.23,1.919626001
934.24,1.925016077
934.25,1.934708824
934.26,1.950615618
934.27,1.974647835
934.28,2.008535417
934.29,2.051737114
934.3,2.102165577
934.31,2.157703804
934.32,2.216234791
934.33,2.275641536
934.34,2.333807035
934.35,2.388614285
934.36,2.437946284
934.37,2.480245953
934.38,2.516336878
934.39,2.54767524
934.4,2.575717227
934.41,2.601919025
934.42,2.627736822
934.43,2.654626804
934.44,2.684045159
934.45,2.717436715
934.46,2.755452064
934.47,2.797441134
934.48,2.842633418
934.49,2.89025841
934.5,2.939545604
934.51,2.989724492
934.52,3.040024568
934.53,3.089675326
934.54,3.137939723
934.55,3.184500515
934.56,3.229326659
934.57,3.272392625
934.58,3.31367288
934.59,3.353141893
934.6,3.390774134
934.61,3.426544069
934.62,3.460426168
934.63,3.492520934
934.64,3.523465645
934.65,3.554040457
934.66,3.585025525
934.67,3.617201004
934.68,3.651347051
934.69,3.688243822
934.7,3.728671472
934.71,3.773402916
934.72,3.822702558
934.73,3.876000779
934.74,3.932650582
934.75,3.99200497
934.76,4.053416944
934.77,4.116239506
934.78,4.179825659
934.79,4.243528404
934.8,4.306724312
934.81,4.369086219
934.82,4.43048925
934.83,4.49081244
934.84,4.549934823
934.85,4.607735434
934.86,4.664093307
934.87,4.718887477
934.88,4.771996977
934.89,4.823299389
934.9,4.872666087
934.91,4.919966793
934.92,4.965071225
934.93,5.007849106
934.94,5.048170156
934.95,5.085904096
934.96,5.120920646
934.97,5.153093425
934.98,5.182570961
934.99,5.209953357
935,5.235882696
935.01,5.26100106
935.02,5.285950532
935.03,5.311373195
935.04,5.337911131
935.05,5.366206424
935.06,5.396853024
935.07,5.429838536
935.08,5.464735938
935.09,5.501110164
935.1,5.538526148
935.11,5.576548824
935.12,5.614743127
935.13,5.652673991
935.14,5.689906349
935.15,5.726082249
935.16,5.761173273
935.17,5.795239016
935.18,5.828339075
935.19,5.860533045
935.2,5.891880521
935.21,5.922441099
935.22,5.952274375
935.23,5.981439514
935.24,6.009965297
935.25,6.037830508
935.26,6.065009278
935.27,6.091475736
935.28,6.117204012
935.29,6.142168234
935.3,6.166342533
935.31,6.189701038
935.32,6.212211069
935.33,6.233753978
935.34,6.254152244
935.35,6.2732272
935.36,6.290800178
935.37,6.306692511
935.38,6.32072553
935.39,6.332720569
935.4,6.34249896
935.41,6.349951616
935.42,6.355267309
935.43,6.358714493
935.44,6.360561627
935.45,6.361077165
935.46,6.360529565
935.47,6.359187283
935.48,6.357318776
935.49,6.355190429
935.5,6.352921217
935.51,6.350387242
935.52,6.347441935
935.53,6.343938728
935.54,6.339731054
935.55,6.334672345
935.56,6.328616031
935.57,6.321415546
935.58,6.312944663
935.59,6.303334501
935.6,6.292892679
935.61,6.281930271
935.62,6.270758347
935.63,6.259687978
935.64,6.249030238
935.65,6.239096197
935.66,6.230196927
935.67,6.222555605
935.68,6.21601852
935.69,6.210330963
935.7,6.205238223
935.71,6.20048559
935.72,6.195818352
935.73,6.190981798
935.74,6.185721219
935.75,6.179783208
935.76,6.173007685
935.77,6.165388563
935.78,6.156934159
935.79,6.147652788
935.8,6.137552767
935.81,6.126642411
935.82,6.114930038
935.83,6.102423963
935.84,6.089123157
935.85,6.074908126
935.86,6.059578001
935.87,6.042930314
935.88,6.0247626
935.89,6.004872392
935.9,5.983057226
935.91,5.959114633
935.92,5.932842149
935.93,5.904189722
935.94,5.87376197
935.95,5.842339242
935.96,5.810701891
935.97,5.77963027
935.98,5.749904733
935.99,5.722305632
936,5.697613319
936.01,5.676599198
936.02,5.659392127
936.03,5.645059082
936.04,5.632567529
936.05,5.620884931
936.06,5.608978753
936.07,5.59581646
936.08,5.580365517
936.09,5.561593387
936.1,5.538556342
936.11,5.511438853
936.12,5.48120151
936.13,5.448820195
936.14,5.415270786
936.15,5.381529163
936.16,5.348571205
936.17,5.317372793
936.18,5.288909804
936.19,5.263933066
936.2,5.242225108
936.21,5.223308093
936.22,5.206704182
936.23,5.191935534
936.24,5.178524308
936.25,5.165992666
936.26,5.153862767
936.27,5.141657296
936.28,5.128936766
936.29,5.115324305
936.3,5.100448919
936.31,5.083939615
936.32,5.065425398
936.33,5.044535275
936.34,5.020898253
936.35,4.994143337
936.36,4.963967333
936.37,4.930930197
936.38,4.896186561
936.39,4.860902817
936.4,4.826245354
936.41,4.793380562
936.42,4.763474833
936.43,4.737694556
936.44,4.717206122
936.45,4.702747458
936.46,4.693209887
936.47,4.686987353
936.48,4.682473798
936.49,4.678063159
936.5,4.672149378
936.51,4.663126393
936.52,4.649388145
936.53,4.629344909
936.54,4.602590276
936.55,4.570679354
936.56,4.535351808
936.57,4.498347301
936.58,4.461405497
936.59,4.42626606
936.6,4.394668652
936.61,4.368352939
936.62,4.348918837
936.63,4.336183381
